0,App,1 
1,App,1 
2,App,1 
3,App,1 
4,javafx,1 
5,javafx,1 
6,javafx,1 
7,javafx,1 
8,javafx,1 
9,javafx,1 
10,javafx,1 
11,javafx,1 
12,javafx,1 
13,javafx,1 
14,javafx,1 
15,javafx,1 
16,javafx,1 
17,javafx,1 
17,javafx,1 
18,javafx,1 
18,javafx,1 
19,javafx,1 
20,javafx,1 
20,javafx,1 
21,javafx,1 
21,javafx,1 
22,javafx,3 
22,javafx,1 
20,javafx,1 
21,javafx,1 
21,javafx,1 
22,javafx,1 
22,javafx,1 
20,javafx,1 
20,javafx,1 
21,javafx,1 
21,javafx,1 
20,javafx,1 
20,javafx,1 
20,javafx,1 
21,javafx,1 
22,javafx,1 
22,javafx,1 
21,javafx,1 
20,javafx,1 
19,javafx,1 
19,javafx,1 
19,javafx,1 
18,javafx,1 
19,javafx,1 
20,javafx,1 
21,javafx,1 
22,javafx,1 
23,javafx,1 
24,javafx,1 
25,javafx,1 
26,javafx,1 
26,javafx,3 
25,javafx,1 
24,javafx,1 
23,javafx,1 
22,javafx,1 
21,javafx,1 
20,javafx,1 
19,javafx,1 
18,javafx,1 
18,javafx,1 
19,javafx,1 
20,javafx,1 
20,javafx,1 
21,javafx,1 
22,javafx,3 
22,javafx,1 
21,javafx,1 
19,javafx,1 
18,javafx,1 
17,javafx,1 
18,javafx,1 
19,javafx,1 
20,javafx,1 
21,javafx,1 
22,javafx,1 
23,javafx,1 
24,javafx,1 
25,javafx,1 
26,javafx,1 
26,javafx,1 
27,javafx,1 
28,javafx,1 
28,javafx,1 
29,javafx,1 
30,javafx,1 
30,javafx,1 
29,javafx,1 
27,javafx,1 
26,javafx,1 
27,javafx,1 
28,javafx,1 
28,javafx,1 
27,javafx,1 
26,javafx,1 
26,javafx,1 
27,javafx,1 
28,javafx,1 
29,javafx,1 
29,javafx,1 
28,javafx,1 
27,javafx,1 
26,javafx,1 
27,javafx,1 
27,javafx,1 
26,javafx,1 
26,javafx,1 
27,javafx,1 
27,javafx,1 
26,javafx,1 
27,javafx,1 
27,javafx,1 
26,javafx,1 
25,javafx,1 
24,javafx,1 
25,javafx,1 
25,javafx,1 
26,javafx,1 
26,javafx,1 
25,javafx,1 
26,javafx,1 
26,javafx,1 
25,javafx,1 
25,javafx,1 
26,javafx,1 
26,javafx,1 
25,javafx,1 
26,javafx,1 
26,javafx,1 
24,javafx,1 
24,javafx,1 
25,javafx,1 
25,javafx,1 
24,javafx,1 
25,javafx,1 
25,javafx,1 
23,javafx,1 
24,javafx,1 
24,javafx,1 
24,javafx,1 
25,javafx,1 
25,javafx,1 
23,javafx,1 
23,javafx,1 
24,javafx,1 
